PROVINCE / LGU,economic_dynamism,government,infrastructure,resiliency,if_3_clusters,if_4_clusters,if_5_clusters,if_6_clusters,if_7_clusters,if_8_clusters,if_9_clusters,if_10_clusters
Santa Barbara (IO),5.3308,13.0252,6.0138,13.5802,2,2,3,3,3,3,3,3
Santa Barbara (PS),5.1768,9.6357,4.945,13.6222,2,2,3,3,3,3,3,3
Santa Catalina (IS),6.4897,11.4592,7.6044,16.3991,2,2,3,3,3,3,5,5
Santa Catalina (NR),4.9263,8.2112,5.1958,11.9619,1,1,1,1,1,1,1,1
Santa Cruz (DS),5.8519,8.7739,5.4165,12.4742,1,1,2,2,2,5,6,6
Santa Cruz (IS),4.7105,9.4467,5.5708,14.5969,2,2,3,3,3,3,3,3
Santa Cruz (LA),6.2965,10.0745,6.0145,13.5154,2,2,3,3,3,3,3,3
Santa Cruz (ME),3.7162,10.0572,4.8415,12.678,1,1,1,1,1,1,1,1
Santa Cruz (OM),2.2137,6.8298,5.6919,13.3222,1,1,2,2,2,2,2,2
Santa Cruz (ZA),3.4311,7.6251,4.995,11.9864,1,1,2,2,2,2,2,2
Santa Elena,2.0029,3.7462,1.5977,6.2426,3,3,4,5,7,8,9,10
Santa Fe (CU),6.7587,10.7616,6.4599,13.5111,2,2,3,3,3,3,3,3
Santa Fe (LE),5.2556,7.7722,5.4685,12.1943,1,1,2,2,2,5,6,6
Santa Fe (NV),3.1951,6.7761,5.3541,9.6492,3,3,4,5,5,6,7,7
Santa Fe (RN),5.4493,8.2572,5.8586,13.1315,1,1,2,2,2,5,6,6
Santa Ignacia,2.9011,8.3103,5.3055,13.3043,1,1,1,1,1,1,1,1
Santa Josefa,5.3263,8.9259,5.5534,13.2776,2,2,3,3,3,3,3,3
Santa Lucia,6.3797,9.8965,5.6619,14.5244,2,2,3,3,3,3,3,3
Santa Magdalena,3.9948,6.5433,5.9881,12.5257,1,1,2,2,2,2,2,2
Santa Marcela,4.5559,8.7327,4.7284,12.8069,1,1,1,1,1,1,1,1
Santa Margarita,3.4435,6.2339,4.1414,11.0133,1,1,2,2,2,2,2,2
Santa Maria (BU),8.7457,11.2268,7.4042,12.3228,2,2,3,3,3,3,5,5
Santa Maria (DS),4.9866,7.5303,4.5101,13.3701,1,1,2,2,2,2,2,2
Santa Maria (IA),3.0242,6.6431,4.3005,12.8029,1,1,2,4,4,4,4,4
Santa Maria (Imelda),4.3729,9.0342,5.786,12.9609,1,1,1,1,1,1,1,1
Santa Maria (IS),6.2212,9.6693,4.7827,13.5551,2,2,3,3,3,3,3,3
Santa Maria (LA),4.6454,11.3151,5.7053,13.1543,2,2,3,3,3,3,3,3
Santa Maria (PS),6.4319,9.9402,5.9879,13.76,2,2,3,3,3,3,3,3
Santa Monica,4.9887,9.4279,6.1154,13.2169,2,2,3,3,3,3,3,3
Santa Praxedes,3.7475,7.0897,5.0507,13.3886,1,1,2,2,2,2,2,2
Santa Rita (PA),4.4587,9.3138,5.773,13.3875,1,1,1,1,1,1,1,1
Santa Rita (WS),3.5237,9.9566,4.6234,12.9595,1,1,1,1,1,1,1,1
Santa Rosa (LA),8.9902,11.3394,9.4248,13.7091,2,4,5,6,6,7,8,8
Santa Rosa (NE),3.7135,8.8335,5.0123,13.2268,1,1,1,1,1,1,1,1
Santa Teresita (BS),4.4153,8.8871,2.739,13.4723,1,1,2,4,4,4,4,4
Santa Teresita (CG),5.1531,9.8448,6.0031,13.4706,2,2,3,3,3,3,3,3
Santander,6.2393,6.8746,4.9029,13.5901,1,1,2,2,2,5,6,6
Santiago (AN),5.1959,9.0719,6.1283,13.3888,2,2,3,3,3,3,3,3
Santiago (IA),4.7915,9.599,8.0651,14.1026,2,2,3,3,3,3,5,5
Santiago (IS),5.4588,9.4731,5.1646,13.689,2,2,3,3,3,3,3,3
Santo Domingo (AY),4.033,9.3942,4.9486,12.7962,1,1,1,1,1,1,1,1
Santo Domingo (IS),6.5571,10.5893,5.8927,17.007,2,2,3,3,3,3,5,5
Santo Domingo (NE),5.1935,9.1949,6.1295,13.2582,2,2,3,3,3,3,3,3
Santo Nino (CG),2.3913,9.2391,1.4587,12.5417,1,1,2,4,4,4,4,4
Santo Nino (SC),6.4066,10.6385,6.2828,13.7536,2,2,3,3,3,3,3,3
Santo Nino (WS),3.0595,6.7285,3.8635,9.8537,1,1,2,4,4,4,4,4
Santo Tomas (BS),5.7825,6.3442,6.1837,12.8892,1,1,2,2,2,5,6,6
Santo Tomas (DN),5.7009,9.8207,5.687,13.5082,2,2,3,3,3,3,3,3
Santo Tomas (IA),2.4132,7.7549,2.7979,12.143,1,1,2,4,4,4,4,4
Santo Tomas (LU),5.7011,9.8144,5.2955,16.1205,2,2,3,3,3,3,5,5
Santo Tomas (PA),5.4618,9.4424,5.4929,11.6353,1,1,1,1,1,1,1,1
Santo Tomas (PS),4.847,10.6288,7.5525,13.0104,2,2,3,3,3,3,5,5
Santol,4.5476,9.4613,4.9136,14.1607,1,1,1,1,1,1,1,1
Sapa-Sapa,2.9703,7.6101,1.2687,11.7857,1,1,2,4,4,4,4,4
Sapad,4.4993,9.5679,5.5424,12.3607,1,1,1,1,1,1,1,1
Sapang Dalaga,6.3324,8.6786,6.5226,13.4067,2,2,3,3,3,3,3,3
Sapi-An,3.7179,7.8575,4.0002,12.6361,1,1,2,4,4,4,4,4
Sara,4.6093,8.9586,4.7324,13.3062,1,1,1,1,1,1,1,1
Sarangani,4.7747,5.8322,3.761,13.1615,1,1,2,2,2,2,2,2
Sariaya,5.3456,11.2005,6.395,13.7144,2,2,3,3,3,3,3,3
Sarrat,5.5414,9.9494,5.8758,13.5403,2,2,3,3,3,3,3,3
Sasmuan,3.7852,8.9871,5.6737,13.4466,1,1,1,1,1,1,1,1
Science City of Munoz,3.7724,9.3693,5.5523,12.2531,1,1,1,1,1,1,1,1
Sebaste,4.1683,7.1521,3.0258,13.4394,1,1,2,4,4,4,4,4
Senator Ninoy Aquino,5.1422,9.5461,4.9534,13.5122,2,2,3,3,3,3,3,3
Sergio Osmena,5.2889,8.9879,5.1164,13.2596,2,2,3,3,3,3,3,3
Sevilla,5.666,9.5458,6.3483,13.2707,2,2,3,3,3,3,3,3
Shariff Aguak,3.5731,6.8094,4.0868,11.2809,1,1,2,2,2,2,2,2
Shariff Saydona Mustapha,3.4706,9.2973,5.1048,11.6121,1,1,1,1,1,1,1,1
Siaton,4.9738,6.5211,5.5462,10.8211,1,1,2,2,2,5,6,6
Siay,2.9669,8.3449,4.1168,13.1605,1,1,2,4,4,4,4,4
Siayan,5.0834,9.7837,4.7823,12.8241,1,1,1,1,1,1,1,1
Sibagat,4.5046,9.3703,2.9062,13.3992,1,1,2,4,4,4,4,4
Sibalom,3.6466,7.2795,4.5493,7.5568,3,3,4,5,5,6,7,7
Sibonga,6.7276,9.2536,6.0101,13.6521,2,2,3,3,3,3,3,3
Sibulan,4.7515,8.125,4.5586,11.5142,1,1,2,2,2,2,2,2
Sibunag,4.1315,8.0947,4.9808,12.716,1,1,1,1,1,1,1,1
Sibutad,4.7422,3.3184,5.2689,11.8054,1,1,2,2,2,2,2,2
Sibutu,4.2627,7.0953,4.0905,8.4345,3,3,4,5,5,6,7,7
Sierra Bullones,5.7515,9.3305,5.5229,9.5137,2,2,3,3,3,3,3,3
Sigay,4.082,9.1519,4.3816,10.733,1,1,2,4,4,4,4,4
Sigma,5.3426,8.2877,4.6398,11.0345,1,1,2,2,2,2,2,2
Sikatuna,6.1184,9.6178,6.0053,10.3696,2,2,3,3,3,3,3,3
Silago,4.693,7.6527,5.1839,12.6194,1,1,2,2,2,2,2,2
Silang,7.9204,11.0767,7.2493,13.9455,2,2,3,3,3,3,5,5
Silay,4.0155,9.8844,6.186,13.5045,2,2,3,3,3,3,3,3
Silvino Lobos,2.4896,5.971,2.704,7.5465,3,3,4,5,5,6,7,7
Simunul,3.6565,8.1776,1.3517,12.4742,1,1,2,4,4,4,4,4
Sinacaban,4.3635,8.3575,7.3482,13.0616,2,2,3,3,3,3,5,5
Sinait,7.2478,10.3391,5.9206,14.3908,2,2,3,3,3,3,3,3
Sindangan,6.6915,7.2125,3.2668,12.2146,1,1,1,1,1,1,1,1
Siniloan,4.5273,8.3049,5.8761,13.4193,1,1,1,1,1,1,1,1
Siocon,5.424,9.001,4.6797,13.2256,1,1,1,1,1,1,1,1
Sipalay,3.5485,8.9372,5.7827,13.6938,1,1,1,1,1,1,1,1
Sipocot,2.9581,6.5169,5.5085,11.2863,1,1,2,2,2,2,2,2
Siquijor,6.4691,10.2448,6.1096,11.1561,2,2,3,3,3,3,3,3
Sirawai,5.872,6.9778,4.1495,11.8994,1,1,2,2,2,2,2,2
Siruma,1.5874,5.0023,1.4779,5.7761,3,3,4,5,7,8,9,10
Sison (PS),9.2862,10.2044,4.4997,13.6852,2,2,3,3,3,3,3,3
Sison (SN),5.4646,9.8466,6.2679,13.9959,2,2,3,3,3,3,5,5
Sitangkai,3.0195,6.2461,3.728,12.6216,1,1,2,4,4,4,4,4
Socorro (OR),5.2347,10.4456,5.9932,13.4377,2,2,3,3,3,3,3,3
Socorro (SN),5.348,9.9079,5.9121,12.9366,2,2,3,3,3,3,3,3
Sofronio Espanola,4.2267,6.1102,4.3937,13.2845,1,1,2,2,2,2,2,2
Sogod (CU),5.8326,10.134,5.9262,13.7526,2,2,3,3,3,3,3,3
Sogod (SL),3.0627,5.8362,5.505,10.8706,1,1,2,2,2,2,2,2
Solana,4.4792,9.0754,5.3183,13.4087,1,1,1,1,1,1,1,1
Solano,4.7576,9.3826,6.3444,13.0336,2,2,3,3,3,3,3,3
Solsona,5.7322,10.0727,5.2298,13.6804,2,2,3,3,3,3,3,3
Sominot,6.6541,9.3892,5.3109,13.6433,2,2,3,3,3,3,3,3
Sorsogon,5.1726,10.5259,7.8075,12.8512,2,2,3,3,3,3,5,5
South Ubian,4.3037,7.3695,2.8544,7.0836,3,3,4,5,5,6,7,7
South Upi,4.3207,8.9637,4.6863,13.347,1,1,1,1,1,1,1,1
Sual,4.5662,8.48,5.0584,13.5016,1,1,1,1,1,1,1,1
Subic,3.9362,9.288,5.4166,13.2518,1,1,1,1,1,1,1,1
Sudipen,4.9899,8.9629,4.6387,13.787,1,1,1,1,1,1,1,1
Sugbongcogon,5.5453,9.2743,5.0898,12.6007,1,1,1,1,1,1,1,1
Sugpon,4.2056,9.4813,4.5004,12.7662,1,1,1,1,1,1,1,1
Sulat,4.0069,7.1564,3.0497,11.5553,1,1,2,4,4,4,4,4
Sulop,6.526,11.1803,9.6044,13.969,2,2,3,3,3,3,5,5
Sultan Dumalondong,2.9352,8.9009,5.0503,12.8552,1,1,1,1,1,1,1,1
Sultan Kudarat,5.0233,9.3664,5.7201,13.3867,2,2,3,3,3,3,3,3
Sultan Mastura,3.2515,9.1303,5.8564,12.7517,1,1,1,1,1,1,1,1
Sultan Naga Dimaporo,7.4121,10.2647,5.9946,8.2452,2,2,3,3,3,3,3,3
Sultan Sa Barongis,2.893,4.0287,3.8188,7.9127,3,3,4,5,5,6,7,7
Sumilao,6.2207,10.3669,5.6045,13.4988,2,2,3,3,3,3,3,3
Sumisip,2.9509,3.6325,0.1293,9.7392,3,3,4,5,5,6,7,9
Surallah,6.6112,10.9966,6.5233,14.0131,2,2,3,3,3,3,3,3
Surigao,6.0741,8.9718,6.9696,13.7052,2,2,3,3,3,3,5,5
Suyo,4.5609,9.5653,5.2553,13.6238,1,1,1,1,1,1,1,1
Taal,6.0448,10.7149,5.1273,13.7953,2,2,3,3,3,3,3,3
Tabaco,3.2683,8.5279,6.3098,13.1136,1,1,1,1,1,1,1,1
Tabango,5.0409,8.4787,3.7412,12.1079,1,1,1,1,1,1,1,1
Tabina,5.6431,6.3455,6.0211,11.6787,1,1,2,2,2,5,6,6
Tabogon,5.753,8.4396,5.446,12.509,1,1,2,2,2,5,6,6
Tabontabon,4.9394,5.4011,5.8961,8.3742,3,3,4,5,5,6,7,7
Tabuelan,4.8914,4.7199,5.5158,9.9558,1,1,2,2,2,2,2,2
Tabuk,4.7708,10.102,5.4888,13.5761,2,2,3,3,3,3,3,3
Tacloban,4.3609,9.6001,4.561,13.6954,1,1,1,1,1,1,1,1
Tacurong,5.5195,10.0339,6.4674,13.6057,2,2,3,3,3,3,3,3
Tadian,5.7033,8.6606,4.8774,12.6791,1,1,1,1,1,1,1,1
Taft,3.5006,5.5499,4.7369,8.3431,3,3,4,5,5,6,7,7
Tagana-An,7.361,9.9453,7.137,13.8859,2,2,3,3,3,3,5,5
Tagapul-An,3.288,7.8102,4.7507,13.636,1,1,1,1,1,1,1,1
Tagaytay,4.5923,9.065,6.9095,13.6175,2,2,3,3,3,3,5,5
Tagbilaran,7.448,10.8368,9.2596,13.7128,2,2,3,3,3,3,5,5
Tagbina,4.876,7.5947,4.3266,12.6111,1,1,2,2,2,2,2,2
Tagkawayan,3.9406,8.5592,5.4251,12.6666,1,1,1,1,1,1,1,1
Tago,4.6691,8.3062,3.8554,13.3244,1,1,2,4,4,4,4,4
Tagoloan (LN),3.6616,9.5785,3.6512,12.8963,1,1,2,4,4,4,4,4
Tagoloan (MO),5.5867000000000004,9.044,5.5562,13.4742,2,2,3,3,3,3,3,3
Tagoloan Ii,2.5738,5.8901,0.1954,8.5105,3,3,4,5,5,6,7,9
Tagudin,5.134,10.2149,5.9356,14.1769,2,2,3,3,3,3,3,3
Taguig,5.9148,8.9189,7.0852,12.97,1,1,2,2,2,5,6,6
Tagum,8.8766,15.1586,10.4221,18.1381,2,4,5,6,6,7,8,8
Talacogon,4.3816,10.9802,5.5843,13.5328,2,2,3,3,3,3,3,3
Talaingod,4.0707,8.4468,4.7866,13.2487,1,1,1,1,1,1,1,1
Talakag,4.5383,8.8328,4.8188,13.3653,1,1,1,1,1,1,1,1
Talalora,2.3832,9.6013,4.0984,11.2961,1,1,2,4,4,4,4,4
Talavera,5.0881,10.5727,7.8899,12.6191,2,2,3,3,3,3,5,5
Talayan,3.7381,9.4812,4.2758,12.1494,1,1,2,4,4,4,4,4
Talibon,5.7724,9.3925,6.0754,13.9724,2,2,3,3,3,3,3,3
Talipao,4.9578,7.0403,4.46,10.6944,1,1,2,2,2,2,2,2
Talisay (CU),5.4548,9.3098,8.2968,13.337,2,2,3,3,3,3,5,5
Talisay (BS),7.4699,9.3747,6.3608,13.656,2,2,3,3,3,3,5,5
Talisay (CN),3.4658,8.0165,3.6378,12.7105,1,1,2,4,4,4,4,4
Talisay (NO),4.1197,9.1051,6.0563,12.739,1,1,1,1,1,1,1,1
Talisayan,5.3598,9.7111,5.0639,13.569,2,2,3,3,3,3,3,3
Talitay,3.3809,7.2092,4.972,11.3615,1,1,2,2,2,2,2,2
Talugtug,4.3011,7.0567,5.3433,13.4811,1,1,1,1,1,1,1,1
Talusan,4.7278,9.9392,6.263,12.7993,2,2,3,3,3,3,3,3
Tambulig,4.1197,7.5133,5.956,11.5081,1,1,1,1,1,1,1,1
Tampakan,4.9782,9.5182,5.6972,13.5576,2,2,3,3,3,3,3,3
Tamparan,3.0335,7.0701,4.5393,13.2318,1,1,2,4,4,4,4,4
Tampilisan,5.5203,9.3718,4.5222,12.8338,1,1,1,1,1,1,1,1
Tanauan (BS),6.6316,10.164,7.5379,12.6621,2,2,3,3,3,3,5,5
Tanauan (LE),5.3114,7.9338,5.0958,13.8242,1,1,2,2,2,5,6,6
Tanay,5.0337,9.8056,6.258,14.0969,2,2,3,3,3,3,3,3
Tandag,4.7973,8.1944,5.3633,13.6118,1,1,1,1,1,1,1,1
Tandubas,2.748,6.925,2.5151,12.6686,1,1,2,4,4,4,4,4
Tangalan,6.0752,9.7365,6.9437,13.3698,2,2,3,3,3,3,5,5
Tangcal,3.5255,9.7845,5.186,13.321,1,1,1,1,1,1,1,1
Tangub,3.3421,9.6287,5.802,13.5038,1,1,1,1,1,1,1,1
Tanjay,5.0223,8.5211,5.3204,13.4723,1,1,1,1,1,1,1,1
Tantangan,5.6172,10.1534,6.47,13.9515,2,2,3,3,3,3,5,5
Tanudan,4.3752,5.8523,4.8239,12.5116,1,1,2,2,2,2,2,2
Tanza,8.3572,9.4196,6.6872,12.586,2,2,3,3,3,3,3,3
Tapaz,3.592,9.4437,4.7039,11.1442,1,1,2,4,4,4,4,4
Taraka,3.102,8.3827,2.9244,12.5912,1,1,2,4,4,4,4,4
Tarangnan,3.0399,6.6344,3.6131,12.7781,1,1,2,4,4,4,4,4
Tarlac,5.8355,9.9126,7.0457,13.9283,2,2,3,3,3,3,5,5
Tarragona,4.529,8.3955,4.2321,13.3687,1,1,2,4,4,4,4,4
Tayabas,4.4359,8.0462,5.3466,13.0137,1,1,1,1,1,1,1,1
Tayasan,4.9645,7.1624,4.9181,12.8158,1,1,2,2,2,2,2,2
Taysan,4.5305,7.6786,5.4392,13.5603,1,1,1,1,1,1,1,1
Taytay (PN),4.8213,9.3435,5.7708,13.4695,2,2,3,3,3,3,3,3
Taytay (RL),10.0891,10.9022,9.9442,15.7254,2,4,5,6,6,7,8,8
Tayug,8.2298,11.4256,7.2922,14.167,2,2,3,3,3,3,5,5
Tayum,5.7037,9.4272,6.015,13.5236,2,2,3,3,3,3,3,3
Teresa,4.0469,9.3427,6.0254,13.4238,2,2,3,3,3,3,3,3
Ternate,4.4961,8.3404,4.8142,12.6895,1,1,1,1,1,1,1,1
Tiaong,6.304,10.4389,5.2586,14.6018,2,2,3,3,3,3,3,3
Tibiao,4.6126,4.7794,0.3275,9.7688,3,3,4,5,5,6,7,9
Tigaon,4.8551,9.942,5.7939,13.469,2,2,3,3,3,3,3,3
Tigbao,6.3466,6.7896,5.2616,12.7952,1,1,2,2,2,5,6,6
Tigbauan,5.1173,9.9488,6.0517,14.0507,2,2,3,3,3,3,3,3
Tinambac,2.2117,4.851,4.6616,9.9727,1,1,2,2,2,2,2,2
Tineg,3.5941,7.8889,0.8892,12.7067,1,1,2,4,4,4,4,4
Tinglayan,4.0496,8.4,4.3314,12.9335,1,1,1,1,1,1,1,1
Tingloy,4.1922,7.8365,4.4336,10.9215,1,1,2,2,2,2,2,2
Tinoc,4.0444,6.5301,5.166,12.6196,1,1,2,2,2,2,2,2
Tipo-Tipo,2.9908,5.3294,0.9291,8.774,3,3,4,5,5,6,7,9
Titay,3.8963,5.9641,3.8182,12.7541,1,1,2,2,2,2,2,2
Tiwi,2.4375,9.7484,5.0702,12.0128,1,1,1,1,1,1,1,1
Tobias Fornier,4.6647,7.5988,3.9994,11.2773,1,1,2,2,2,2,2,2
Toboso,4.1449,9.4041,4.5237,13.5991,1,1,1,1,1,1,1,1
Toledo,5.1741,8.1154,5.0761,12.6616,1,1,1,1,1,1,1,1
Tolosa,5.3701,8.5771,6.3356,13.9821,1,1,1,1,1,1,1,1
Tomas Oppus,5.8231,10.1587,5.1262,13.4671,2,2,3,3,3,3,3,3
Torrijos,5.1265,9.607,5.9684,12.9776,2,2,3,3,3,3,3,3
Trece Martires,5.7023,7.5875,7.6323,12.8243,1,1,2,2,2,5,6,6
Trento,5.279,9.6658,4.5293,13.3549,1,1,1,1,1,1,1,1
Trinidad,6.1375,9.7478,5.839,13.2635,2,2,3,3,3,3,3,3
Tuao,3.966,6.2701,5.2764,12.0984,1,1,2,2,2,2,2,2
Tuba,5.1306,8.812,4.6186,13.4171,1,1,1,1,1,1,1,1
Tubajon,4.7866,6.0628,4.5136,12.8261,1,1,2,2,2,2,2,2
Tubao,5.1234,10.6699,4.6169,14.2384,1,1,1,1,1,1,1,1
Tubaran,3.5411,6.3615,2.6299,11.3207,1,1,2,4,4,4,4,4
Tubay,5.5234,6.6912,5.0184,13.3642,1,1,2,2,2,5,6,6
Tubigon,6.1203,8.9434,5.9517,13.1691,2,2,3,3,3,3,3,3
Tublay,7.1481,11.3882,5.4909,13.4958,2,2,3,3,3,3,3,3
Tubo,4.1505,8.3047,5.0349,12.2313,1,1,1,1,1,1,1,1
Tubod (LN),4.9624,9.7347,5.4232,12.0568,1,1,1,1,1,1,1,1
Tubod (SN),6.5391,11.4314,6.8718,13.7341,2,2,3,3,3,3,3,3
Tubungan,5.0824,9.5831,5.96,11.5106,1,1,1,1,1,1,1,1
Tuburan (CU),6.5621,7.1156,5.4532,13.3748,1,1,2,2,2,5,6,6
Tudela (CU),6.9511,8.1288,7.2686,13.6949,1,1,2,2,2,5,6,6
Tudela (MC),4.9612,9.427,5.9461,13.5281,2,2,3,3,3,3,3,3
Tugaya,2.8236,9.4256,2.3871000000000002,10.7287,1,1,2,4,4,4,4,4
Tuguegarao,6.2499,12.3453,8.7975,14.2282,2,2,3,3,3,3,5,5
Tukuran,5.5012,9.3973,4.9531,11.3797,1,1,1,1,1,1,1,1
Tulunan,3.6075,9.9465,5.2106,11.9983,1,1,1,1,1,1,1,1
Tumauini,3.2936,9.2864,5.9672,13.4764,1,1,1,1,1,1,1,1
Tunga,5.4332,6.3463,5.7728,11.7514,1,1,2,2,2,5,6,6
Tungawan,4.531,9.5768,4.8576,11.4912,1,1,1,1,1,1,1,1
Tupi,5.9338,10.1982,6.0609,13.5286,2,2,3,3,3,3,3,3
Turtle Islands,4.4833,9.1945,2.8629,12.2972,1,1,2,4,4,4,4,4
Tuy,5.2039,6.911,5.3885,12.8506,1,1,2,2,2,2,2,2
Ubay,5.6853,10.3881,5.439,13.4326,2,2,3,3,3,3,3,3
Umingan,5.0245,9.9622,5.2246,13.7026,1,1,1,1,1,1,1,1
Unisan,4.2824,9.3644,5.2531,13.6909,1,1,1,1,1,1,1,1
Upi,3.5911,9.8943,4.9799,13.5141,1,1,1,1,1,1,1,1
Urbiztondo,5.0393,9.9862,5.4383,13.7396,2,2,3,3,3,3,3,3
Urdaneta,6.0609,10.0706,6.9224,13.5721,2,2,3,3,3,3,5,5
Uson,5.3281,5.344,4.2037,9.2935,3,3,4,5,5,6,7,7
Uyugan,1.8497,3.948,6.0935,12.5867,1,1,2,2,2,2,2,2
Valderrama,4.7796,7.4905,4.8787,12.852,1,1,2,2,2,2,2,2
Valencia (BK),5.7794,9.1306,4.4933,13.7478,1,1,1,1,1,1,1,1
Valencia (BL),6.2244,9.5873,5.4388,12.6859,2,2,3,3,3,3,3,3
Valencia (NR),4.8106,7.3543,5.1132,12.9144,1,1,2,2,2,2,2,2
Valenzuela,4.8315,13.6696,7.8074,15.7906,2,2,3,3,3,3,5,5
Valladolid,3.7862,8.6778,5.3138,9.9685,3,3,4,5,5,6,7,7
Vallehermoso,5.2234,7.4003,4.0265,13.3753,1,1,2,4,4,4,4,4
Veruela,4.4755,9.3938,4.8275,13.1604,1,1,1,1,1,1,1,1
Victoria (LA),5.0863,4.7227,5.769,13.6162,1,1,2,2,2,2,2,2
Victoria (NS),4.4607,5.6679,5.1448,10.1192,1,1,2,2,2,2,2,2
Victoria (OR),4.3857,6.7265,5.6727,13.2844,1,1,2,2,2,2,2,2
Victoria (TC),3.0694,9.1612,5.5171,12.1515,1,1,1,1,1,1,1,1
Victorias,3.6697,9.1346,5.6848,12.9938,1,1,1,1,1,1,1,1
Viga,3.2874,4.0059,4.2448,9.7889,1,1,2,2,2,2,2,2
Vigan,5.7006,10.1621,6.9567,13.063,2,2,3,3,3,3,5,5
Villaba,5.3772,9.594,5.8032,11.5952,1,1,1,1,1,1,1,1
Villanueva,5.4677,7.3992000000000004,4.755,13.569,1,1,2,2,2,5,6,6
Villareal,2.6423,8.3655,4.0885,12.7328,1,1,2,4,4,4,4,4
Villasis,5.0156,10.1486,5.6145,13.7626,2,2,3,3,3,3,3,3
Villaverde,4.1814,9.8843,4.6868,12.5385,1,1,1,1,1,1,1,1
Villaviciosa,4.1821,2.7703,4.7919,7.5811,3,3,4,5,5,6,7,7
Vincenzo A Sagun,5.3281,6.8596,5.4666,14.547,1,1,2,2,2,5,6,6
Vintar,3.89,9.7823,5.1869,13.1522,1,1,1,1,1,1,1,1
Vinzons,3.4479,8.2642,4.3532,10.9869,1,1,2,4,4,4,4,4
Virac,3.1767,8.9422,6.3365,12.4731,1,1,1,1,1,1,1,1
Wao,4.1277,8.9622,4.5326,12.9541,1,1,1,1,1,1,1,1
Zamboanga,6.1758,9.9616,6.4264,14.2075,2,2,3,3,3,3,5,5
Zamboanguita,5.8077,6.9809,5.5155,13.4534,1,1,2,2,2,5,6,6
Zaragoza,5.5737,9.7715,6.5219,13.4807,2,2,3,3,3,3,3,3
Zarraga,5.8388,9.3082,5.5393,13.6245,2,2,3,3,3,3,3,3
